user_id,question_id,answered,liked,
this_user_likes_Travel@gmail.com,Di2Q7z6QQbrVDKKNTPXb,1,,
this_user_likes_Travel@gmail.com,GrJEduiuQJZCPwZE1unr,1,1,
this_user_likes_Travel@gmail.com,SGQ26jizM4RJU7fkrdZs,1,,
this_user_likes_Travel@gmail.com,0K0xuDeXiNo49ulkPS9A,1,1,
this_user_likes_Travel@gmail.com,dxFzevarnmcheTX5WfSx,1,1,
this_user_likes_Travel@gmail.com,iOHgzO9IDSJoKvRPVqDT,1,,
this_user_likes_Travel@gmail.com,wH9XvzijktfVA0Q37Nl1,1,,
this_user_likes_Travel@gmail.com,AKes1kMp8A6RRUc8h8Ns,1,,
this_user_likes_Travel@gmail.com,G98C2xrrkJnCSH7isteh,,1,
this_user_likes_Travel@gmail.com,YEQRVsYBeWlLZwBnOKtN,1,,
this_user_likes_Travel@gmail.com,aWLaiKCNYIZgy2cJlG06,1,,
this_user_likes_Travel@gmail.com,ek6rSV2W97HVU4mBW91z,,1,
this_user_likes_Travel@gmail.com,oNvAJMn92iLUHwoQdyDR,1,1,
this_user_likes_Travel@gmail.com,fNwJL9FhLFxh3cHCUNEa,1,,
this_user_likes_Travel@gmail.com,iaozHnMmfv1kZQ9MGhY7,1,,
this_user_likes_Travel@gmail.com,8eeNLtsCfqXFTxhAFgsC,1,,
this_user_likes_Travel@gmail.com,95td6B38IOERfdLiTky0,1,1,
this_user_likes_Travel@gmail.com,JTJma5pIZmGeHC2pHXfw,1,,
this_user_likes_Travel@gmail.com,6cLVZ8fwYlITkamNpeHd,1,,
this_user_likes_Travel@gmail.com,78ngvsnExMQKcEyMQpSJ,1,1,
this_user_likes_Travel@gmail.com,l7qdt7uqUyMmpLpelhbF,1,,
this_user_likes_Travel@gmail.com,nee4HID1iJMhoT0uNUeZ,1,,
this_user_likes_Travel@gmail.com,uxkGwOOZQJXBPf7RKiI4,1,1,
this_user_likes_Travel@gmail.com,uz9P4VnPDyI16hpy6MMk,1,,
this_user_likes_Travel@gmail.com,3F5yAfdkHudVpSfADqKT,1,,
this_user_likes_Travel@gmail.com,74rEorK3ni7UEGCrZqTd,1,,
this_user_likes_Travel@gmail.com,zwOuxlfQAlTVzIlPEePL,1,,
this_user_likes_Travel@gmail.com,01PHtLBzCXDHJNnEIArw,1,,
this_user_likes_Travel@gmail.com,4oZAoZfK5PIfxnYG9M5n,,1,
this_user_likes_Travel@gmail.com,4ossYKx9FVmdXIGTIKKX,1,,
this_user_likes_Travel@gmail.com,69uWJzUXNkgo2GCevpvC,1,1,
this_user_likes_Travel@gmail.com,OfclCUjEg4oHM7dhw06P,1,,
this_user_likes_Travel@gmail.com,OiCQmziXIjdWvkpm4Zrh,1,1,
this_user_likes_Travel@gmail.com,R6B2gLRgkdf2bdkjhSaE,1,1,
this_user_likes_Travel@gmail.com,RZOuiSlLyKa1iTsyOriJ,1,,
this_user_likes_Travel@gmail.com,S35bqZym4evDv7OhSS9o,1,1,
this_user_likes_Travel@gmail.com,dUNYEcOKFpWVfZh0Wl4l,1,1,
this_user_likes_Travel@gmail.com,gEk239lJwWAUp4GgEqPE,1,,
this_user_likes_Travel@gmail.com,gXb0xXSSOzYeZ3IUpqlG,1,1,
teddy_bear_likes_history@gmail.com,01PHtLBzCXDHJNnEIArw,1,,
teddy_bear_likes_history@gmail.com,08Ex4qLKZSL6m4uGcAc5,1,,
teddy_bear_likes_history@gmail.com,0TbTlDbxr0qGDTtTAVqX,1,,
teddy_bear_likes_history@gmail.com,3pRqA8VKBvWfIorgeiqa,,1,
teddy_bear_likes_history@gmail.com,6AsVqtngsQnOKbRUw8fj,1,,
teddy_bear_likes_history@gmail.com,6cLVZ8fwYlITkamNpeHd,1,1,
teddy_bear_likes_history@gmail.com,78ngvsnExMQKcEyMQpSJ,,1,
teddy_bear_likes_history@gmail.com,95td6B38IOERfdLiTky0,,1,
teddy_bear_likes_history@gmail.com,AKes1kMp8A6RRUc8h8Ns,1,,
teddy_bear_likes_history@gmail.com,G98C2xrrkJnCSH7isteh,1,1,
teddy_bear_likes_history@gmail.com,K12mLH5fBOYHZ3pmZQ7Y,1,,
teddy_bear_likes_history@gmail.com,OVhd9SnQ6ZhtXmiSaRb5,1,,
